Designator,Mid X,Mid Y,Rotation,Layer
D1,12.0,36.08,90.0,top
D2,31.0,25.27,90.0,top
D3,39.0,25.27,90.0,top
D4,24.73,11.0,180.0,top
D5,24.73,5.0,180.0,top
D6,53.0,25.0,90.0,top
D7,59.5,25.0975,90.0,top
D8,69.5,30.0,90.0,top
D9,74.5,30.0,90.0,top
H1,80.0,45.0,0.0,top
H2,5.0,45.0,0.0,top
H3,80.0,5.0,0.0,top
H4,5.0,5.0,0.0,top
J1,4.0,34.5,270.0,top
J2,4.0,18.75,270.0,top
J3,52.25,17.0,0.0,top
J4,51.995,5.0,0.0,top
J5,69.54,4.8275,0.0,top
J6,70.25,17.0,0.0,top
Q1,39.0,31.0,0.0,top
R1,26.0,31.0,0.0,top
R2,39.0,43.0,270.0,top
R3,15.08,10.0,0.0,top
R4,15.08,6.0,0.0,top
R5,50.0,31.0,270.0,top
R6,62.5,31.0,270.0,top
R7,69.5,36.0,270.0,top
R8,74.5,36.0,270.0,top
RV1,35.5,16.0,90.0,top
SW1,17.25,21.5,0.0,top
SW2,26.25,42.5,0.0,top
SW3,56.25,42.5,0.0,top
SW4,72.0,43.0,270.0,top
TP1,61.0,17.0,0.0,top
TP2,80.0,17.0,180.0,top
